review_priority,action_today,customer_market,go_no_go_score,recommendation,pursuit_type,drop_reason,risk_flags,title,department,sub_tier,office,full_parent_path_name,posted_date,response_deadline,days_until_deadline,clean_naics,naics_code,classification_code,notice_type,base_type,search_name,search_keyword,search_naics,search_ptype,query_hits,ui_link,score_rationale,description,source,notice_id,solicitation_number,archive_type,active,first_seen,last_seen,days_until_deadline_sort,review_priority_sort
5 - Drop,Drop unless manually confirmed,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Non-target NAICS: 335311,Likely goods/supply opportunity | Scope may not be A/E or engineering services,PWR SPLY MOD 18LB/H,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-19,2026-06-18T16:30:00-04:00,27.0,335311,335311,6120,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/d85d107bf41147c5aa06e592cacd66e7/view,Likely goods/manufacturing/retail NAICS: 335311 | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Workable deadline: 27 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d85d107bf41147c5aa06e592cacd66e7,SAM.gov,d85d107bf41147c5aa06e592cacd66e7,N0010426QBU67,auto15,Yes,2026-05-19,2026-05-22,27.0,5
5 - Drop,Drop unless manually confirmed,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Non-target NAICS: 332722,Check set-aside status / prime eligibility | Likely goods/supply opportunity | Scope may not be A/E or engineering services,"SCREW,SPECIAL",,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-19,2026-06-18T16:30:00-04:00,27.0,332722,332722,5305,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/e9082e70fb254b159e8aa9594ea1c7fa/view,Likely goods/manufacturing/retail NAICS: 332722 | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Small business/team potential: 8a | Workable deadline: 27 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e9082e70fb254b159e8aa9594ea1c7fa,SAM.gov,e9082e70fb254b159e8aa9594ea1c7fa,N0010426QFE02,auto15,Yes,2026-05-19,2026-05-22,27.0,5
5 - Drop,Drop unless manually confirmed,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Non-target NAICS: 334413,Likely goods/supply opportunity | Scope may not be A/E or engineering services,SEMICONDUCTOR DEVIC,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-19,2026-06-18T16:30:00-04:00,27.0,334413,334413,5961,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation | DOE Engineering Services - Solicitation | Department of Energy architect engineer | Department of Energy engineering services,https://sam.gov/workspace/contract/opp/f197a445d89b4b4db33079ca886b2d7a/view,Likely goods/manufacturing/retail NAICS: 334413 | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Workable deadline: 27 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f197a445d89b4b4db33079ca886b2d7a,SAM.gov,f197a445d89b4b4db33079ca886b2d7a,N0010426QBU38,auto15,Yes,2026-05-19,2026-05-22,27.0,5
5 - Drop,Drop unless manually confirmed,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Likely goods/supplies/equipment: valve,Contains goods/supplies/equipment language | Likely goods/supply opportunity | Scope may not be A/E or engineering services,"STEM,FLUID VALVE",,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-19,2026-06-18T16:30:00-04:00,27.0,332919,332919,4820,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation | DOE Engineering Services - Solicitation | Department of Energy architect engineer | Department of Energy engineering services,https://sam.gov/workspace/contract/opp/fbd3f687f8854f76979431c218eab239/view,Likely goods/manufacturing/retail NAICS: 332919 | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Bad-fit goods/supply terms: valve | Workable deadline: 27 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fbd3f687f8854f76979431c218eab239,SAM.gov,fbd3f687f8854f76979431c218eab239,N0010426QBU42,auto15,Yes,2026-05-19,2026-05-22,27.0,5
5 - Drop,Drop unless manually confirmed,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Non-target NAICS: 332919,Check set-aside status / prime eligibility | Likely goods/supply opportunity | Scope may not be A/E or engineering services,"TUBING,NONMETALLIC",,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-19,2026-06-18T16:30:00-04:00,27.0,332919,332919,4820,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/eb0bb19d506949a197c2df26a9b508a7/view,Likely goods/manufacturing/retail NAICS: 332919 | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Small business/team potential: 8a | Workable deadline: 27 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=eb0bb19d506949a197c2df26a9b508a7,SAM.gov,eb0bb19d506949a197c2df26a9b508a7,N0010426QFA67,auto15,Yes,2026-05-19,2026-05-22,27.0,5
5 - Drop,Drop unless manually confirmed,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Likely goods/supplies/equipment: valve,Contains goods/supplies/equipment language | Likely goods/supply opportunity | Scope may not be A/E or engineering services,"VALVE,SEA,UNDERWATE",,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,2026-05-19,2026-06-18T16:30:00-04:00,27.0,334511,334511,6605,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation | DOE Engineering Services - Solicitation | Department of Energy architect engineer | Department of Energy engineering services,https://sam.gov/workspace/contract/opp/ff178cbf0d554c129a3a42cbad3ff3c3/view,Likely goods/manufacturing/retail NAICS: 334511 | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Bad-fit goods/supply terms: valve | Workable deadline: 27 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ff178cbf0d554c129a3a42cbad3ff3c3,SAM.gov,ff178cbf0d554c129a3a42cbad3ff3c3,N0010426QUB67,auto15,Yes,2026-05-19,2026-05-22,27.0,5
5 - Drop,Check for design component,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Likely construction-only: repair,Adjacent NAICS; verify engineering scope | Check set-aside status / prime eligibility | May be construction-only rather than A/E services | Scope may not be A/E or engineering services,DSCR B66D Restroom and Conference Room Repairs,,,,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DCSO.DCSO RICHMOND.DCSO RICHMOND DIVISION #1,2026-05-22,2026-06-19T23:59:00-04:00,28.0,236220,236220,Y1AA,Solicitation,Presolicitation,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/ecd9e0619a8b487a959e8a9fc1824bb6/view,Secondary/adjacent NAICS 236220: Commercial and Institutional Building Construction | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Small business/team potential: 8a | Construction-only risk terms: repair | Workable deadline: 28 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ecd9e0619a8b487a959e8a9fc1824bb6,SAM.gov,ecd9e0619a8b487a959e8a9fc1824bb6,SP470326Q0049,auto15,Yes,2026-05-22,2026-05-22,28.0,5
5 - Drop,No action,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,No strong A/E or engineering-services language,Missing NAICS | Scope may not be A/E or engineering services,16--SCREW RF SWITCH,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,2026-05-19,2026-06-19T00:00:00-04:00,28.0,,,1680,Presolicitation,Presolicitation,,,,,Department of Energy architect engineer | Department of Energy engineering services,https://sam.gov/workspace/contract/opp/f57a171fb0a944a2bb0d4ec5d42da06d/view,Missing NAICS | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Workable deadline: 28 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f57a171fb0a944a2bb0d4ec5d42da06d,SAM.gov,f57a171fb0a944a2bb0d4ec5d42da06d,N0038326QQB02,autocustom,Yes,2026-05-19,2026-05-22,28.0,5
5 - Drop,Drop unless manually confirmed,DoD / Defense Infrastructure,0,No-Go,Active Solicitation,Non-target NAICS: 336413,Likely goods/supply opportunity | Scope may not be A/E or engineering services,FMS; Qty 1; NIIN: 014805040,,,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,2026-05-19,2026-06-19T16:00:00-04:00,28.0,336413,336413,1680,Solicitation,Solicitation,DOE Engineering Services - Solicitation,Department of Energy,541330,o,DOE Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/e9f25b04d2514c6dac904ca12375f66d/view,Likely goods/manufacturing/retail NAICS: 336413 | No strong A/E-engineering language detected | Non-DOE market classification: DoD / Defense Infrastructure | Active solicitation | Workable deadline: 28 days,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e9f25b04d2514c6dac904ca12375f66d,SAM.gov,e9f25b04d2514c6dac904ca12375f66d,N0038326QD063,autocustom,Yes,2026-05-19,2026-05-22,28.0,5
5 - Drop,Check for design component,Other Federal,0,No-Go,Active Solicitation,"Likely construction-only: replace, replacement",May be construction-only rather than A/E services | NAICS does not clearly match A/E services | Scope may not be A/E or engineering services,"Roof, Windows and Exterior Doors Replacement – Residential House , Prague 6, Czech Republic",,,,"STATE, DEPARTMENT OF.STATE, DEPARTMENT OF.US EMBASSY PRAGUE",2026-05-22,2026-06-20T17:00:00+02:00,29.0,236118,236118,Z2FZ,Solicitation,Solicitation,DOE Environmental Consulting - Solicitation,Department of Energy,541620,o,DOE A-E - Solicitation | DOE Environmental Consulting - Solicitation | NNSA Engineering Services - Solicitation,https://sam.gov/workspace/contract/opp/f34513dc3a5a4d3c8cdf4bb6235e34d6/view,"Non-target NAICS: 236118 | No strong A/E-engineering language detected | Non-DOE market classification: Other Federal | Active solicitation | Construction-only risk terms: replace, replacement | Workable deadline: 29 days",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f34513dc3a5a4d3c8cdf4bb6235e34d6,SAM.gov,f34513dc3a5a4d3c8cdf4bb6235e34d6,19EZ8026Q0008,autocustom,Yes,2026-05-22,2026-05-22,29.0,5
